medicine_name,generic_name,platform,day,price,is_stockout
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,1,15.25,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,2,15.16,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,3,15.23,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,4,15.33,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,5,15.97,1
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,6,15.83,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,7,15.56,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,8,15.96,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,9,15.97,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,10,15.43,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,11,15.8,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,12,16.29,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,13,16.74,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,14,16.33,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,15,16.34,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,16,16.63,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,17,16.52,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,18,16.71,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,19,16.9,1
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,20,16.68,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,21,17.35,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,22,16.83,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,23,16.9,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,24,17.46,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,25,17.72,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,26,17.65,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,27,17.67,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,28,17.71,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,29,17.76,0
Crocin 500mg,Paracetamol IP 500mg,PharmEasy,30,18.32,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,1,14.44,1
Crocin 500mg,Paracetamol IP 500mg,Netmeds,2,14.34,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,3,14.36,1
Crocin 500mg,Paracetamol IP 500mg,Netmeds,4,14.82,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,5,15.04,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,6,15.12,1
Crocin 500mg,Paracetamol IP 500mg,Netmeds,7,14.71,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,8,14.96,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,9,15.01,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,10,15.2,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,11,15.58,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,12,15.84,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,13,15.65,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,14,15.47,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,15,15.74,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,16,16.3,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,17,15.97,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,18,15.96,0
